Ingredient,Type,Purpose,Skin Type
Cedrus Atlantica (Cedarwood) Bark Oil,"Essential Oil, Antiseptic, Relaxing",Helps cleanse the skin and calms the mind,"oily,acne-prone skin"
Bisabolol,"Skin Soothing, Anti-inflammatory",Soothes and calms irritated skin,sensitive skin
Tocopherol (Vitamin E),"Antioxidant, Skin Conditioning","Protects skin from damage, enhances hydration",all skin types
Ascorbyl Palmitate (Vitamin C Ester),"Antioxidant, Skin Brightening",Helps brighten skin and reduce dark spots,all skin types
Olea Europaea (Olive) Fruit Oil,"Emollient, Moisturizing, Antioxidant",Deeply moisturizes and protects the skin,"dry,sensitive skin"
Lecithin,"Emollient, Skin Conditioning",Moisturizes and protects skin barrier,"dry,sensitive skin"
Potassium Hydroxide,pH Adjuster,Balances and maintains the optimal pH level,all skin types
Caprylic/Capric Triglyceride,"Emollient, Skin Conditioning","Softens and moisturizes the skin, improves spreadability",all skin types
Lauryl Glucoside,"Surfactant, Skin Cleansing","Gentle cleanser, helps remove impurities",sensitive skin
Hydroxypropyl Starch Phosphate,"Stabilizer, Emulsifier","Stabilizes emulsions, enhances formulation texture",all skin types
Stearic Acid,"Emulsifier, Skin Conditioning","Forms emulsions, softens and smooths skin","dry,sensitive skin"
Coco-Glucoside,"Surfactant, Skin Cleansing","Mild cleanser, adds foam and removes dirt",sensitive skin
Panthenol,"Moisturizing, Skin Healing","Hydrates, improves skin elasticity, speeds up healing","dry,sensitive skin"
Propanediol,"Humectant, Moisturizing","Moisturizes skin, helps retain hydration",all skin types
Sodium Levulinate,"Preservative, Skin Conditioning","Preserves the product, supports healthy skin",all skin types
Sodium Anisate,"Preservative, Skin Conditioning",Acts as a preservative and maintains skin health,all skin types
Sodium Phytate,"Chelating Agent, Skin Conditioning","Binds metal ions, enhances formulation stability",all skin types
Decyl Glucoside,"Surfactant, Skin Cleansing","Mild cleanser, removes dirt without irritating",sensitive skin
Disodium Cocoamphodiacetate,"Surfactant, Skin Conditioning","Gentle cleanser, supports healthy skin balance",sensitive skin
Lactic Acid,"Exfoliant, Skin Conditioning","Exfoliates dead skin cells, helps with skin texture improvement",all skin types
Glycolic Acid,"Exfoliant, Skin Renewing","Promotes cell turnover, improves skin tone and texture","dry,oily,aging skin"
"1,2-Hexanediol","Solvent, Skin Conditioning","Solubilizes other ingredients, moisturizes skin",all skin types
Caprylyl Glycol,"Emollient, Skin Conditioning","Moisturizes and conditions skin, enhances product feel","dry,sensitive skin"
Silica,"Absorbent, Skin Conditioning","Absorbs excess oil, adds smoothness to the product texture","oily,combination"
Titanium Dioxide,"Sunscreen Agent, Skin Protection",Provides broad-spectrum UV protection,all skin types
Tin Oxide,"Opacifying Agent, Skin Conditioning","Provides opacity, enhances product appearance",all skin types
Ascorbyl Tetraisopalmitate,"Antioxidant, Skin Brightening","Brightens skin tone, protects from free radical damage",all skin types
Avena Sativa (Oat) Kernel Extract,"Skin Soothing, Anti-inflammatory","Calms and soothes skin irritation, reduces redness","sensitive,dry"
Parfum,Fragrance,Adds fragrance to the product,all skin types
Lauryl Glucoside,"Surfactant, Cleansing","Mild cleanser, removes dirt and oil",all skin types
Sodium Cocoamphoacetate,"Mild Surfactant, Cleansing","Gentle cleanser, suitable for sensitive skin","sensitive,dry"
Disodium Cocoamphodiacetate,"Surfactant, Cleansing","Mild surfactant, helps in cleansing and emulsifying",all skin types
Coco-Glucoside,"Surfactant, Cleansing","Gentle surfactant, derived from coconut, cleanses without stripping","sensitive,dry"
Glyceryl Oleate,"Emollient, Skin Conditioning","Softens skin, helps balance oil and water content in skin","dry,sensitive skin"
Sodium Cocoyl Glutamate,"Surfactant, Cleansing","Mild cleanser, often used in gentle cleansers for sensitive skin","dry,sensitive skin"
Sodium Lauryl Glucose Carboxylate,"Surfactant, Cleansing","Mild, biodegradable cleanser, gentle on skin",sensitive skin
Citrus Reticulata (Tangerine) Peel Oil,"Essential Oil, Fragrance","Fragrance, brightens and refreshes skin",all skin types
Epilobium Angustifolium Flower/Leaf/Stem Extract,"Antioxidant, Skin Soothing","Reduces skin irritation, calms inflammation","sensitive,irritated skin"
Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract,"Antioxidant, Skin Brightening","Rich in Vitamin C, brightens skin, fights free radicals",all skin types
Sodium Metabisulfite,"Preservative, Antioxidant","Prevents oxidation, extends shelf life of products",all skin types
Hamamelis Virginiana (Witch Hazel) Water,"Astringent, Antioxidant","Tightens pores, reduces inflammation, soothes skin","oily,acne-prone skin"
Xanthan Gum,"Thickener, Stabilizer","Used to thicken products, stabilizes emulsions",all skin types
Gluconolactone,"Exfoliant, Humectant","Gentle exfoliant, helps in moisture retention","sensitive,dry"
Cyamopsis Tetragonoloba (Guar) Gum,"Thickener, Emulsifier","Thickens formulations, stabilizes emulsions",all skin types
Benzyl Alcohol,"Preservative, Solvent","Preserves the product, dissolves other ingredients",all skin types
Alcohol,"Solvent, Astringent","Helps dissolve other ingredients, tightens pores","oily,acne-prone skin"
Salicylic Acid,"Exfoliant, Acne Treatment","Exfoliates dead skin cells, reduces acne breakouts","acne-prone,oily"
Sorbic Acid,Preservative,"Prevents microbial growth, extends shelf life",all skin types
Calcium Gluconate,"Skin Conditioning, pH Regulator","Helps maintain skin's natural barrier, adjusts pH levels","dry,sensitive skin"
Propylene Glycol,"Humectant, Solvent","Attracts moisture, helps dissolve other ingredients",all skin types
Propylparaben,Preservative,"Prevents microbial growth, extends shelf life",all skin types
Methylparaben,Preservative,"Prevents microbial growth, extends shelf life",all skin types
Butylparaben,Preservative,"Prevents microbial growth, extends shelf life",all skin types
Aloe Barbadensis Leaf Juice,Plant Extract,"Soothing, Moisturizing",all skin types
Disodium Cocoamphodiacetate,Surfactant,Gentle cleanser,sensitive skin
Sodium C14-16 Olefin Sulfonate,Surfactant,Cleansing,oily
Sodium Cocoyl Glutamate,Surfactant,Mild cleansing agent,sensitive skin
Cocamidopropyl Betaine,Surfactant,Foaming agent,all skin types
Sodium PCA,Humectant,Moisturizing,dry
PEG-7 Glyceryl Cocoate,Emollient,Solvent,all skin types
Panthenol,Humectant,"Soothing, Moisturizing",all skin types
Vitis Vinifera (Grape) Seed Extract,Antioxidant,Anti-aging,all skin types
Arnica Montana Flower Extract,Plant Extract,"Anti-inflammatory, Soothing",sensitive skin
Polyquaternium-43,Conditioning Agent,Anti-static,all skin types
Benzyl Alcohol,Preservative,"Fragrance, Preservative",sensitive skin
Dehydroacetic Acid,Preservative,"Antimicrobial, Preservative",all skin types
Lauryl Glucoside,Surfactant,Gentle cleanser,sensitive skin
Sodium Cocoamphoacetate,Surfactant,Mild cleansing agent,sensitive skin
Lactic Acid,Exfoliant,"pH Adjuster, Exfoliation",dry
Coco-Glucoside,Surfactant,Cleansing,sensitive skin
Phenoxyethanol,Preservative,Antimicrobial,all skin types
Glyceryl Oleate,Emollient,Moisturizing,all skin types
Sodium Lauryl Glucose Carboxylate,Surfactant,Mild cleansing agent,sensitive skin
Citrus Reticulata (Tangerine) Peel Oil,Essential Oil,Fragrance,all skin types
Epilobium Angustifolium Flower/Leaf/Stem Extract,Plant Extract,"Anti-inflammatory, Antioxidant",sensitive skin
Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract,Plant Extract,"Antioxidant, Skin brightening",all skin types
Sodium Metabisulfite,Antioxidant,"Preservative, Antioxidant",all skin types
Sodium Lauryl Sulfate,Surfactant,"Cleansing agent, Emulsifier",oily and acne-prone skin
Propylparaben,Preservative,"Antimicrobial, Antifungal",all skin types
Methylparaben,Preservative,"Antimicrobial, Antifungal",all skin types
Butylparaben,Preservative,"Antimicrobial, Antifungal",all skin types
Disodium Cocoamphodiacetate,Surfactant,Cleansing agent,all skin types
Sodium C14-16 Olefin Sulfonate,Surfactant,Cleansing agent,oily and acne-prone skin
Sodium Cocoyl Glutamate,Surfactant,Cleansing agent,sensitive and dry skin
Cocamidopropyl Betaine,Surfactant,Cleansing agent,sensitive and dry skin
Sodium PCA,Humectant,Moisturizer,dry and dehydrated skin
PEG-7 Glyceryl Cocoate,Surfactant,Moisturizer,dry
Panthenol,Moisturizer,Skin conditioning,all skin types
Vitis Vinifera (Grape) Seed Extract,Antioxidant,Skin conditioning,all skin types
Arnica Montana Flower Extract,Anti-inflammatory,Skin soothing,all skin types
Polyquaternium-43,Conditioning agent,Skin smoothening,all skin types
Benzyl Alcohol,Preservative,"Solvent, antimicrobial",all skin types
Dehydroacetic Acid,Preservative,"Antifungal, antimicrobial",all skin types
Cetyl Alcohol,Emulsifier,Skin conditioning,dry
Stearyl Alcohol,Emulsifier,Skin conditioning,dry
Sodium Lauryl Sulfate,Surfactant,Cleansing agent,oily and acne-prone skin
Propylparaben,Preservative,"Antimicrobial, preservative",all skin types
Methylparaben,Preservative,"Antimicrobial, preservative",all skin types
Butylparaben,Preservative,"Antimicrobial, preservative",all skin types
Decyl Glucoside,Surfactant,Cleansing agent,sensitive skin
Gluconolactone,Exfoliant,"Humectant, Exfoliating",sensitive skin
Coco-Glucoside,Surfactant,Cleansing agent,all skin types
Niacinamide,Active Ingredient,"Anti-inflammatory, Brightening",all skin types
Algae Extract,Plant Extract,"Antioxidant, Skin conditioning",dry
Artemisia Vulgaris Extract,Plant Extract,"Anti-inflammatory, Soothing",sensitive skin
luconolactone,Polyhydroxy Acid,"Gentle exfoliant, Anti-aging",sensitive skin
Cyamopsis Tetragonoloba Gum,Thickener,Stabilizer,all skin types
Calendula Officinalis (Calendula) Flower Extract,Plant extract,Soothing,"dry,sensitive skin"
Chamomilla Recutita Flower Extract,Plant extract,Anti-inflammatory,sensitive skin
Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract,Antioxidant,Brightening,all skin types
Alcohol,Solvent,"Astringent, May dry skin",may irritate dry skin
Sorbic Acid,Preservative,Anti-microbial,all skin types
Calcium Gluconate,Humectant,Moisturizer,all skin types
Sodium C14-16 Olefin Sulfonate,Surfactant,Cleansing,all skin types (can be harsh)
Sodium Cocoyl Glutamate,Surfactant,Gentle cleanser,all skin types
Sodium PCA,Humectant,Moisturizing,all skin types
PEG-7 Glyceryl Cocoate,Emollient,Softens and smoothens skin,all skin types
Vitis Vinifera (Grape) Seed Extract,Antioxidant,Nourishing,all skin types
Arnica Montana Flower Extract,Plant extract,"Soothing, Anti-inflammatory",sensitive skin
Polyquaternium-43,Film-forming agent,"Texture improvement, Moisturizing",all skin types
Castoryl Maleate,Emollient,Softens and conditions skin,all skin types
Colloidal Oatmeal,Soothing agent,Calms irritation and moisturizes,dry and sensitive skin
Butylene Glycol,Humectant,Moisturizing,all skin types
Phenyl Ethyl Alcohol,Preservative,Fragrance component,all skin types
Vitamin E Acetate,Antioxidant,Skin protection and nourishment,all skin types
Triethanolamine,pH adjuster,Stabilizes formulations,all skin types
Tridecyl Stearate,Emollient,Provides hydration and smoothness,all skin types
Isodecyl Salicylate,Skin-conditioning agent,Enhances skin texture,all skin types
PEG-30 Dipolyhydroxystearate,Emulsifier,Stabilizes formulations,all skin types
Tridecyl Trimellitate,Skin-conditioning agent,Improves spreadability,all skin types
Isocetyl Stearoyl Stearate,Emollient,Adds moisture and improves texture,"dry,sensitive skin"
Dipentaerythrityl Hexacaprylate/?Hexacaprate,Emollient,Moisturizes and softens skin,all skin types
Sorbitan Sesquioleate,Emulsifier,Combines oil and water in products,all skin types
Magnesium Sulfate,Stabilizer,Thickens and stabilizes formulations,all skin types
Ozokerite,Thickener,Adds structure to formulations,all skin types
Copper PCA,Antioxidant,Protects against free radicals,all skin types
CI 75130/?Beta-Carotene,Pigment,Adds color and antioxidant benefits,all skin types
Garcinia Mangostana (Mangosteen) Peel Extract,Plant Extract,"Antioxidant, soothing",all skin types
Polygonum Cuspidatum Root Extract,Plant Extract,"Antioxidant, anti-inflammatory",all skin types
Scutellaria Baicalensis Root Extract,Plant Extract,"Antioxidant, calming",sensitive skin
Glycyrrhiza Glabra (Licorice) Root Extract,Plant Extract,"Brightening, soothing",all skin types
Rosmarinus Officinalis (Rosemary) Leaf Extract,Plant Extract,"Antimicrobial, antioxidant","oily,acne-prone skin"
PEG-120 Methyl Glucose Dioleate,"Emulsifier, Surfactant","Cleansing, foaming",all skin types
Allantoin,Skin Conditioner,"Soothing, moisturizing","sensitive,dry"
Polyquaternium-7,Polymer,"Conditioning, anti-static",all skin types
Artemisia Vulgaris Extract,Plant Extract,"Soothing, anti-inflammatory",all skin types
Crithmum Maritimum Extract,Plant Extract,"Antioxidant, hydration enhancer",all skin types
Hordeum Distichon (Barley) Extract,Plant Extract,"Moisturizing, soothing",all skin types
Phellodendron Amurense Bark Extract,Plant Extract,"Anti-inflammatory, calming",sensitive skin
Plantago Lanceolata Leaf Extract,Plant Extract,"Antioxidant, soothing",all skin types
Pterocarpus Soyauxii Wood Extract,Plant Extract,"Coloring agent, antioxidant",all skin types
Spiraea Ulmaria Extract,Plant Extract,"Soothing, anti-inflammatory","sensitive,oily"
Blue 1 (CI 42090),Colorant,Adds blue color,all skin types
Red 33 (CI 17200),Colorant,Adds red color,all skin types
Citronellol,Fragrance Component,"Adds scent, masking agent",all skin types
Hexyl Cinnamal,Fragrance Component,"Adds scent, masking agent",all skin types
Limonene,Fragrance Component,Adds citrus scent,all skin types
Linalool,Fragrance Component,Adds floral scent,all skin types
"1,3-Propanediol Zemea",Humectant,"Hydration, solvent",all skin types
D-Pantolactone,Moisturizer,"Conditioning, softening","dry,sensitive"
Dexpanthenol,Humectant,"Moisturizing, soothing",all skin types
Cica Extract,Plant Extract,"Calming, repairing","sensitive,dry"
Ceramide Oat Lipid E,Lipid,Strengthens skin barrier,"dry,sensitive"
Spinacia Oleracea (Spinach) Leaf Extract,Plant Extract,"Antioxidant, nourishing",all skin types
Brassica Oleracea Acephala Leaf Extract,Plant Extract,"Antioxidant, soothing",all skin types
Tetrahexyldecyl Ascorbate,Vitamin Derivative,"Antioxidant, skin brightening",all skin types
Medicago Sativa (Alfalfa) Extract,Plant Extract,"Anti-inflammatory, soothing","sensitive,dry"
Trilaureth-4 Phosphate,Surfactant (Anionic),"Cleansing, emulsifying","oily,normal"
Citronellol,Fragrance compound,"Fragrance, may have skin irritation potential",sensitive skin
Linalool,Fragrance compound,"Fragrance, may have skin irritation potential",sensitive skin
Argania Spinosa Kernel Oil,Plant Oil,"Moisturizing, anti-aging, soothing","dry,sensitive"
Avena Sativa (Oat) Kernel Oil,Plant Oil,"Moisturizing, soothing, anti-inflammatory","sensitive,dry"
Simmondsia Chinensis (Jojoba) Seed Oil,Plant Oil,"Moisturizing, nourishing, balancing",all skin types
Squalane,Plant-derived Oil,"Moisturizing, emollient, restores skin barrier","dry,all skin types"
Cholesterol,Lipid,"Restores skin barrier, emulsifier","dry,sensitive"
Stearic Acid,Fatty Acid,"Emulsifying agent, thickener",all skin types
